a	a	interj	pospolita
a	a	qub	pospolita
a	a	qub	pospolita
a	a	conj	pospolita
a	a	prep:nom	pospolita
aa	aa	interj	pospolita
AA	AA	subst:pl:acc:p1	własna
AA	AA	subst:pl:dat:p1	własna
AA	AA	subst:pl:gen:p1	własna
AA	AA	subst:pl:inst:p1	własna
AA	AA	subst:pl:loc:p1	własna
AA	AA	subst:pl:nom:p1	własna
AA	AA	subst:pl:voc:p1	własna
AA	AA	subst:sg:gen:m3	organizacja
AA	AA	subst:sg:loc:n2	organizacja
AA	AA	subst:sg:nom:n2	organizacja
AA	AA	subst:pl:dat:m3	organizacja
AA	AA	subst:sg:voc:n2	organizacja
AA	AA	subst:sg:inst:m3	organizacja
AA	AA	subst:sg:loc:m3	organizacja
AA	AA	subst:pl:gen:m3	organizacja
AA	AA	subst:sg:nom:m3	organizacja
AA	AA	subst:sg:voc:m3	organizacja
AA	AA	subst:pl:inst:m3	organizacja
AA	AA	subst:pl:acc:n2	organizacja
AA	AA	subst:pl:loc:m3	organizacja
AA	AA	subst:pl:dat:n2	organizacja
AA	AA	subst:pl:gen:n2	organizacja
AA	AA	subst:pl:nom:m3	organizacja
AA	AA	subst:pl:inst:n2	organizacja
AA	AA	subst:pl:loc:n2	organizacja
AA	AA	subst:pl:voc:m3	organizacja
AA	AA	subst:pl:nom:n2	organizacja
AA	AA	subst:pl:voc:n2	organizacja
AA	AA	subst:pl:acc:m3	organizacja
AA	AA	subst:sg:acc:m3	organizacja
AA	AA	subst:sg:acc:n2	organizacja
AA	AA	subst:sg:dat:n2	organizacja
AA	AA	subst:sg:dat:m3	organizacja
AA	AA	subst:sg:gen:n2	organizacja
AA	AA	subst:sg:inst:n2	organizacja
Aachen	Aachen	subst:sg:dat:n2	geograficzna
Aachen	Aachen	subst:sg:gen:n2	geograficzna
Aachen	Aachen	subst:sg:inst:n2	geograficzna
Aachen	Aachen	subst:sg:loc:n2	geograficzna
Aachen	Aachen	subst:sg:nom:n2	geograficzna
Aachen	Aachen	subst:sg:voc:n2	geograficzna
Aachen	Aachen	subst:pl:acc:m3	geograficzna
Aachen	Aachen	subst:pl:dat:m3	geograficzna
Aachen	Aachen	subst:pl:gen:m3	geograficzna
Aachen	Aachen	subst:pl:inst:m3	geograficzna
Aachen	Aachen	subst:pl:loc:m3	geograficzna
Aachen	Aachen	subst:pl:nom:m3	geograficzna
Aachen	Aachen	subst:pl:voc:m3	geograficzna
Aachen	Aachen	subst:sg:acc:m3	geograficzna
Aachen	Aachen	subst:sg:dat:m3	geograficzna
Aachen	Aachen	subst:sg:gen:m3	geograficzna
Aachen	Aachen	subst:sg:inst:m3	geograficzna
Aachen	Aachen	subst:sg:loc:m3	geograficzna
Aachen	Aachen	subst:sg:nom:m3	geograficzna
Aachen	Aachen	subst:sg:voc:m3	geograficzna
Aachen	Aachen	subst:pl:acc:n2	geograficzna
Aachen	Aachen	subst:pl:dat:n2	geograficzna
Aachen	Aachen	subst:pl:gen:n2	geograficzna
Aachen	Aachen	subst:pl:inst:n2	geograficzna
Aachen	Aachen	subst:pl:loc:n2	geograficzna
Aachen	Aachen	subst:pl:nom:n2	geograficzna
Aachen	Aachen	subst:pl:voc:n2	geograficzna
Aachen	Aachen	subst:sg:acc:n2	geograficzna
Aalborg	Aalborg	subst:sg:acc:m3	
